page_number,directions,ingredients,prep_time_minutes,ready_in_minutes
42,"1. In a blender, add bread slices, egg whites, guar/xantham gum,
sweetener, and cinnamon.
2. Blend on high until mixture is uniform in consistency. Remove mix
from the blender and add to a fridge-safe airtight container.
3. (OPTIONAL): Let sit for 2-3 hours or more in the refrigerator. The
longer you let the mixture rest, the better it binds. (Note: it can be
cooked right away but it’s better if it has time to sit).
4. Heat a griddle over low-medium heat. Spray griddle with cooking
spray. Add mixture to griddle and let sit for 1-2 minutes until
edges appear cooked through.
5. Add blueberries to the pancake in the griddle.
6. Once edges start to brown and pancake appears to be visibly
cooked about ⅔ of the way, flip the pancake in the griddle and let
sit another 1-2 minutes.
7. Remove pancake from the griddle and serve on a plate with low-
calorie syrup or leftover blueberries.
‘ L I T E ’  V E R S I O N 
S U B S T I T U T I O N S
3 slices of regular ass bread 
instead of 4 (up to 240 
calories total)","M A K E S  2  P A N C A K E S
480g (2 cups) egg whites
4 slices regular ass bread (up to 80 
calories per slice)
4 packets (~3 tbsp) sweetener
2 tsp cinnamon
5g (1½ tsp) guar/xanthan gum
100g blueberries
Cooking spray
O P T I O N A L  T O P P I N G S
60ml (4 tbsp) low-calorie syrup (20 
calories)",15,20
43,"1. Put the oats in a blender, blend to make a flour-like consistency
(optional).
2. In a bowl, add the remaining dry ingredients.
3. In a separate bowl, add pumpkin purée and egg whites, mix
well.
4. Combine dry ingredients and wet ingredients into a blender,
blend for 5-10 seconds.
5. Remove the batter from the blender and fold in shredded
apples.
6. Heat a skillet to medium-low heat.
7. Spray the skillet with cooking spray for 1 second. Add the
pancake mixture to the pan and let the pancakes get firm on
one side before flipping.
8. Enjoy!","M A K E S  6  P A N C A K E S
100g (~1 cup) rolled oats
480g (2 cups) egg whites
225g (1 cup) pumpkin purée
250g Granny Smith apples, peeled 
and shredded 
4 packets (~3 tbsp) sweetener
4g (1 tsp) baking soda
1 tsp cinnamon (optional)
3g (1 tsp) guar gum
Cooking spray
T O P  W I T H :
60ml (4 tbsp) low-calorie syrup (20 
calories)",20,
44,"1. In a bowl, mix egg whites, casein protein, sweetener,
and baking powder/guar gum with a fork until a uniform
consistency is achieved.
2. Heat a griddle over low-medium heat. Spray griddle with
cooking spray. Add mixture to griddle and let sit for 1-2
minutes until edges appear cooked through.
3. Remove pancake from the griddle and serve on a plate with
toppings of choice.","M A K E S  2  P A N C A K E S
240g (1 cup) regular or flavored Liquid 
Muscle or Muscle Egg egg whites
25g (¾ scoop) casein protein
2 packets (4 tsp) sweetener
~1g (¼ tsp) guar gum
Cooking Spray
T O P  W I T H :
60ml (4 tbsp) low-calorie syrup (20 
calories)
G L U T E N - F R E E",15,20
45,"1. Place the cauliflower in a blender and blend on high until it’s
shredded.
2. Place the remaining ingredients in the blender except the serving
of fruit, and blend until smooth.
3. Heat a skillet over low-medium heat. Spray with cooking spray for
1 second, then pour mixture onto the pan.
4. Place the fruit on top of the pancakes while they’re cooking.
5. Flip once the bottom is golden brown or until desired doneness.
Enjoy!","M A K E S  3  P A N C A K E S
480g (2 cups) egg whites
400g cauliflower
1 serving fruit of choice, sliced 
(300g strawberries recommended) 
(100 calories)
45g (⅜ cup) rolled oats
50g (1½ scoop) strawberry 
cheesecake (or flavour of choice)  
protein powder
3 packets (2 tbsp) sweetener to 
taste
1.5g (½ tsp) guar gum/xanthan gum
Cooking spray",15,20
46,"1. Place the cauliflower in a blender and blend on high until it’s
shredded into small pieces (like cauliflower rice).
2. Add into the blender oats, protein powder, egg whites, guar/
xanthan gum, baking powder (if used) and sweetener. Blend until
the mixture is well blended.
3. Heat a nonstick skillet on low-medium heat. Spray the skillet with
cooking spray for 1 second. Pour the mixture into the heated skillet.
4. Add the sugar-free chocolate chips on the pancakes while in the
pan.
5. Flip the pancake when you feel like it and eat when ready (and don’t
forget to put the fork down)!!","M A K E S  2  P A N C A K E S
240g (1 cup) egg whites
300g cauliflower
45g (⅜ cup) rolled oats
33g (1 scoop) vanilla casein protein 
powder 
3 packets (2 tbsp) sweetener 
1.5g (½ tsp) guar or xanthan gum 
45g sugar-free chocolate chips
Cooking spray",15,20
48,"1. Preheat the oven to 350°F/177°C.
2. Blend all ingredients together in a blender (except for the
chocolate chips.)
3. Fold the chocolate chips into the batter.
4. Spray a loaf pan with cooking spray for 1 second. Then, pour the
batter into the loaf pan.
5. Place in the oven and bake for 15-20 minutes, or until a toothpick
comes out clean.
6. Let cool completely. Slice and serve.","M A K E S  5  S E R V I N G S
225g (1 cup) pumpkin purée
66g (2 scoops) cinnamon or vanilla 
protein powder
20g (3 tbsp) oat flour
25g (¼ cup) almond flour 
6 packets (¼ cup) sweetener 
3g (½ tsp) baking soda
4 tsp cinnamon
5g (1 tsp) vanilla extract
15g sugar-free chocolate chips 
(optional)",20,60
50,"1. Preheat the oven to 350°F/177°C.
2. In a bowl mix all the wet ingredients together.
3. In a separate bowl mix all the dry ingredients (leave chopped
apples out until last).
4. Once both are mixed, combine together and stir thoroughly
until smooth.
5. Add in some (but not all) of the chopped apples and then fold
into the mixture.
6. Scoop the muffin mixture into the silicone muffin mold until the
well is ¾ full. Add the remaining apples to the tops of the muffin
molds.
7. Bake in the preheated oven for 18 minutes or until a toothpick
comes out clean.
8. Let the muffins cool in the molds for a few minutes before
removing and serving.","M A K E S  6  M U F F I N S
250g (1 cup) unsweetened applesauce
45ml (3 tbsp) unsweetened almond milk
10g (2 tsp) vanilla extract 
10g (2 tsp) apple cider vinegar
65g (~½ cup) oat flour
43g (~1⅓ scoop) vanilla or cinnamon 
protein powder 
12 packets (½ cup) sweetener 
½ tsp sea salt 
2.5g (½ tsp) baking powder
1g (¼ tsp) baking soda
¼ tsp cinnamon (if not using cinnamon 
protein powder you can add more) 
80g chopped apples",10,20
51,"1. Preheat the oven to 350°F (177°C). Place liners in a muffin tin and
spray them with cooking spray.
2. In a bowl, mix all the dry ingredients together well. In a separate
bowl or a stand mixer, whip together the rest of the ingredients
until smooth. Add the dry ingredients to the wet ingredients and
mix until incorporated.
3. Fill the muffin liners about ¾ of the way full with the batter. Bake
the muffins in the oven for 20 minutes or until a toothpick comes
out clean when you prick the muffins.
4. Remove the muffins from the oven and allow to cool for 20
minutes before serving.","M A K E S  8  M U F F I N S
220g banana
125g (½ cup) 0% fat Greek yogurt
200g (~7/8 cup) egg whites
90g (~¾ cup) self-rising flour
132g (4 scoops) chocolate protein 
powder (520 calories, 100g protein)
4g (1 tsp) baking soda 
5g (1 tsp) baking powder 
5g (1 tsp) vanilla extract
Banana Chocolate Protein 
Muffins",10,40
52,"1. Preheat the oven to 163°C (325°F).
2. Combine all wet ingredients into a bowl and mix until evenly
distributed.
3. In another bowl, combine all dry ingredients and mix. Then,
combine the wet and dry ingredients in a bowl.
4. Mix until you get a smooth consistency. Fold in blueberries.
5. Spray a muffin tray with cooking spray, and pour the batter into
the muffin trays. Be sure to leave approx ¼ - ½ inch (~1 cm) of
room for the muffins to rise in each tray.
6. Bake for 15-20 minutes, or until a toothpick comes out clean
(DON’T over bake or else they will be dry.)
7. Let cool on a cooling rack and serve.","M A K E S  1 0  M U F F I N S
250g (1 cup) unsweetened apple 
sauce
175g (~¾ cup) 0% fat Greek yogurt
60g (¼ cup) egg whites
66g (2 scoops) cinnamon or vanilla 
protein powder
240g (2 cups) oat flour
270g fresh blueberries
5g (1 tsp) vanilla extract
6 packets (¼ cup) sweetener
6g (1½ tsp) baking powder
4g (½ tsp) baking soda 
Blueberry Protein 
Muffins",10,40
53,"1. Preheat the oven to 350°F (177°C). Line a muffin tin with cupcake
liners and spray with cooking spray.
2. In a large bowl, mix all the dry ingredients together thoroughly. In
a separate bowl, mix all the rest of the ingredients together.
3. Add the wet ingredients to the dry ingredient and mix well until
everything is well incorporated.
4. Fill the cupcake liners about ¾ full of the batter. “I put ¼ cup in
each cupcake liner!”
5. Bake in the oven for 20 minutes or until a toothpick comes out
clean when you prick the cake with one.
6. Remove from the oven and allow to cool down for at least 20
minutes before serving.",,20,45
